col_a,col_b,phi,chi2,p_value,cramers_v,n
INTENTION_DFN,Surprise,0.02,0.00,0.97,0.00,781
INTENTION_DFN,Tristesse,-0.02,0.12,0.73,0.01,781
INTENTION_EMP,Admiration,,,,,781
INTENTION_EMP,Autre,0.00,0.00,1.00,0.00,781
INTENTION_EMP,Colere,-0.09,4.83,0.03,0.08,781
INTENTION_EMP,Culpabilite,-0.01,0.00,1.00,0.00,781
INTENTION_EMP,Degout,-0.06,1.68,0.20,0.05,781
INTENTION_EMP,Embarras,-0.01,0.00,1.00,0.00,781
INTENTION_EMP,Fierte,-0.01,0.00,1.00,0.00,781
INTENTION_EMP,Jalousie,-0.02,0.00,1.00,0.00,781
INTENTION_EMP,Joie,0.00,0.00,1.00,0.00,781
INTENTION_EMP,Peur,-0.01,0.00,1.00,0.00,781
INTENTION_EMP,Surprise,-0.01,0.00,1.00,0.00,781
INTENTION_EMP,Tristesse,0.09,3.01,0.08,0.06,781
INTENTION_GSL,Admiration,,,,,781
INTENTION_GSL,Autre,0.02,0.05,0.83,0.01,781
INTENTION_GSL,Colere,0.04,0.68,0.41,0.03,781
INTENTION_GSL,Culpabilite,-0.01,0.00,1.00,0.00,781
INTENTION_GSL,Degout,0.01,0.00,1.00,0.00,781
INTENTION_GSL,Embarras,-0.01,0.00,1.00,0.00,781
INTENTION_GSL,Fierte,-0.01,0.00,1.00,0.00,781
INTENTION_GSL,Jalousie,-0.01,0.00,1.00,0.00,781
INTENTION_GSL,Joie,0.02,0.00,1.00,0.00,781
INTENTION_GSL,Peur,-0.01,0.00,1.00,0.00,781
INTENTION_GSL,Surprise,0.10,1.59,0.21,0.05,781
INTENTION_GSL,Tristesse,-0.02,0.00,1.00,0.00,781
INTENTION_OTH,Admiration,,,,,781
INTENTION_OTH,Autre,-0.08,4.15,0.04,0.07,781
INTENTION_OTH,Colere,-0.18,23.54,0.00,0.17,781
INTENTION_OTH,Culpabilite,0.15,11.67,0.00,0.12,781
INTENTION_OTH,Degout,-0.13,11.27,0.00,0.12,781
INTENTION_OTH,Embarras,-0.02,0.00,1.00,0.00,781
INTENTION_OTH,Fierte,0.03,0.01,0.91,0.00,781
INTENTION_OTH,Jalousie,0.05,0.56,0.45,0.03,781
INTENTION_OTH,Joie,-0.04,0.92,0.34,0.03,781
INTENTION_OTH,Peur,0.02,0.00,1.00,0.00,781
INTENTION_OTH,Surprise,-0.03,0.08,0.78,0.01,781
INTENTION_OTH,Tristesse,0.08,3.68,0.06,0.07,781
